STATIC_ECC_A,DYNAMIC_ECC,X,Y,L1,L2,U1,U2,TORQUE_RIPPLE,CURRENT_SPECTRUM,L1_U1_RATIO,L_diff,U_diff,L_ratio,U_ratio,Power_like,Combined_spectrum
0.06,0.1,47.7,47.6,-40.699,-61.2686,-43.475,-40.769,0.44,4.165,0.936147211,20.5696,-2.706000000000003,0.6642717585234811,1.0663739867638153,1769.389025,1.8326
0.065,0.1,47.7,47.6,-40.008,-61.159,-42.741,-40.766,0.45,4.165,0.9360567137,21.150999999999996,-1.9750000000000014,0.6541637478402811,1.048447261159968,1709.9819280000002,1.87425
0.07,0.1,47.7,47.6,-39.3681,-61.051,-42.162,-40.764,0.46,4.167,0.9337341682,21.682900000000004,-1.3979999999999961,0.6448395709298712,1.034294991519355,1659.8378321999999,1.91682
0.075,0.1,47.7,47.6,-38.771,-60.945,-41.573,-40.761,0.47,4.169,0.9326004859,22.174,-0.8119999999999976,0.6361637646429364,1.0199210279414397,1611.826783,1.9594299999999998
0.08,0.1,47.7,47.6,-38.2136,-60.84,-41.0219,-40.758,0.49,4.171,0.9315414449,22.626400000000004,-0.2638999999999996,0.6280999445775796,1.006474827186683,1567.59447784,2.04379
0.085,0.1,47.7,47.6,-37.689,-60.737,-40.5033,-40.755,0.5,4.173,0.9305167727,23.048000000000002,0.2516999999999996,0.6205278597976169,0.9938240950515052,1526.5288737,2.0865
0.09,0.1,47.7,47.6,-37.194,-60.634,-40.013,-40.7526,0.51,4.175,0.9295478969,23.439999999999998,0.7396000000000029,0.6134182243199892,0.9818514887848011,1488.243522,2.12925
0.095,0.1,47.7,47.6,-36.726,-60.533,-39.55,-40.749,0.52,4.178,0.928596713,23.807000000000002,1.1990000000000052,0.6067103993971948,0.9705759888727572,1452.5132999999998,2.17256
0.1,0.1,47.7,47.6,-36.282,-60.434,-39.11,-40.746,0.53,4.181,0.9276911276,24.152,1.6360000000000028,0.6003574246344346,0.9598488430729112,1418.9890199999998,2.21593
0.105,0.1,47.7,47.6,-35.86,-60.335,-38.692,-40.744,0.55,4.183,0.926806575,24.475,2.0519999999999996,0.5943482322755984,0.9496367796396225,1387.49512,2.30065
0.11,0.1,47.7,47.6,-35.457,-60.237,-38.292,-40.741,0.56,4.186,0.9259636478,24.78,2.448999999999998,0.588624941292311,0.9398885874153454,1357.719444,2.34416
0.115,0.1,47.7,47.6,-35.072,-60.141,-37.91,-40.738,0.57,4.189,0.9251384859,25.068999999999996,2.828000000000003,0.583162910213713,0.93058080736857,1329.57952,2.38773
0.12,0.1,47.7,47.6,-34.703,-60.046,-37.544,-40.735,0.58,4.192,0.9243287876,25.342999999999996,3.1910000000000025,0.577940255436503,0.9216644389754372,1302.889432,2.4313599999999997
0.125,0.1,47.7,47.6,-34.3499,-59.952,-37.183,-40.732,0.6,4.195,0.9238065783,25.6021,3.5489999999999995,0.5729567082492112,0.9128695107745632,1277.2323317,2.517
0.13,0.1,47.7,47.6,-34.01,-59.859,-36.856,-40.729,0.61,4.198,0.9227805513,25.849000000000004,3.8729999999999976,0.5681685388691514,0.904908072992415,1253.47256,2.5607800000000003
0.135,0.1,47.7,47.6,-33.683,-59.767,-36.531,-40.726,0.62,4.201,0.9220388163,26.084000000000003,4.195,0.5635718801942857,0.8969945709619056,1230.473673,2.6046199999999997
0.14,0.1,47.7,47.6,-33.367,-59.676,-36.218,-40.723,0.63,4.205,0.9212822354,26.309000000000005,4.5049999999999955,0.5591360104419868,0.8893745767594377,1208.486006,2.64915
0.145,0.1,47.7,47.6,-33.063,-59.586,-35.916,-40.72,0.65,4.209,0.9205646509,26.522999999999996,4.804000000000002,0.5548786720853669,0.8820235972992041,1187.490708,2.7358499999999997
0.15,0.1,47.7,47.6,-32.769,-59.497,-35.624,-40.717,0.66,4.212,0.9198573995,26.728,5.092999999999996,0.5507672748334752,0.8749171322768655,1167.362856,2.77992
0.155,0.1,47.7,47.6,-32.4853,-59.4099,-35.341,-40.714,0.67,4.216,0.9191958349,26.924599999999998,5.3729999999999976,0.5467994483545578,0.868030674166888,1148.0629873,2.82472
0.16,0.1,47.7,47.6,-32.21,-59.3229,-35.067,-40.711,0.68,4.22,0.9185273904,27.112899999999996,5.643999999999998,0.5429606533557978,0.8613642716063047,1129.50807,2.8696
0.165,0.1,47.7,47.6,-31.94,-59.236,-34.802,-40.708,0.7,4.223,0.9177633469,27.295999999999996,5.905999999999999,0.5391991447633052,0.8549179732464864,1111.57588,2.9560999999999997
0.17,0.1,47.7,47.6,-31.684,-59.151,-34.544,-40.705,0.71,4.227,0.9172070403,27.467000000000002,6.161000000000001,0.5356460674484973,0.8486426937389188,1094.492096,3.00117
0.175,0.1,47.7,47.6,-31.432,-59.067,-34.294,-40.702,0.72,4.232,0.9165451683,27.635,6.408000000000001,0.5321414754793958,0.8425630397170418,1077.9290079999998,3.04704
0.18,0.1,47.7,47.6,-31.1884,-58.984,-34.051,-40.699,0.74,4.236,0.9159319844,27.7956,6.647999999999996,0.5287603507520743,0.8366544838117518,1061.9962084000001,3.1346399999999996
0.185,0.1,47.7,47.6,-30.95,-58.902,-33.815,-40.696,0.75,4.24,0.9152742866,27.952,6.881,0.5254490598867451,0.8309170638617324,1046.57425,3.18
0.19,0.1,47.7,47.6,-30.719,-58.82,-33.585,-40.693,0.76,4.245,0.9146642847,28.101,7.107999999999997,0.5222543441389722,0.8253262434651228,1031.697615,3.2262
0.195,0.1,47.7,47.6,-30.493,-58.739,-33.3607,-40.69,0.78,4.249,0.9140395735,28.246,7.329299999999996,0.519126994315991,0.8198746822284267,1017.2678251,3.3142199999999997
0.2,0.1,47.7,47.6,-30.274,-58.659,-33.142,-40.687,0.79,4.254,0.9134632792,28.384999999999998,7.544999999999995,0.5161015447945165,0.8145599531683327,1003.3409080000001,3.3606599999999998
0.205,0.1,47.7,47.6,-30.059,-58.58,-32.926,-40.684,0.8,4.258,0.9129259552,28.520999999999997,7.757999999999996,0.5131273559769095,0.8093108054594143,989.7226340000001,3.4064
0.21,0.1,47.7,47.6,-29.851,-58.502,-32.72,-40.681,0.81,4.263,0.9123166259,28.651000000000003,7.9609999999999985,0.510256068343921,0.804306698564605,976.7247199999999,3.45303
0.215,0.1,47.7,47.6,-29.646,-58.425,-32.517,-40.678,0.83,4.268,0.9117077221,28.778999999999996,8.160999999999994,0.5074197776195084,0.7993756035049807,963.9989820000001,3.5424399999999996
0.22,0.1,47.7,47.6,-29.447,-58.3484,-32.318,-40.675,0.84,4.273,0.9111640572,28.9014,8.357,0.5046753724982239,0.7945421215621911,951.6681459999999,3.5893199999999994
0.225,0.1,47.7,47.6,-29.251,-58.272,-32.124,-40.672,0.86,4.278,0.9105653094,29.020999999999997,8.547999999999995,0.5019735121837848,0.7898308612763293,939.6591240000001,3.6790799999999995
0.23,0.1,47.7,47.6,-29.0611,-58.197,-31.934,-40.669,0.87,4.283,0.9100363249,29.135900000000003,8.734999999999996,0.49935736377059575,0.7852172609411902,928.0371674,3.7262100000000005
0.235,0.1,47.7,47.6,-28.874,-58.129,-31.748,-40.666,0.88,4.288,0.9094746126,29.255,8.917999999999996,0.4967228147176592,0.7807013421703964,916.691752,3.7734400000000003
0.24,0.1,47.7,47.6,-28.691,-58.049,-31.566,-40.663,0.9,4.293,0.9089209909,29.358,9.096999999999998,0.4942548621725587,0.7762831265839492,905.6601059999999,3.8637
0.245,0.1,47.7,47.6,-28.5126,-57.976,-31.387,-40.659,0.91,4.298,0.9084206837,29.4634,9.271999999999998,0.4918000636780748,0.771957027274577,894.9249762,3.9111800000000003
0.25,0.1,47.7,47.6,-28.337,-57.903,-31.213,-40.656,0.92,4.304,0.9078589049,29.566,9.442999999999998,0.48938743224681674,0.7677341786632768,884.482781,3.9596800000000005
0.005,0.2,47.7,47.5,-61.0418,-57.6986,-61.2734,-35.2745,0.61,4.345,0.9962202195,-3.343200000000003,-25.9989,1.0579424987424737,1.7370452235196874,3740.23862812,2.6504499999999998
0.01,0.2,47.7,47.5,-55.7724,-57.639,-57.1506,-35.2732,0.63,4.345,0.9758847676,1.8666000000000054,-21.877399999999994,0.9676156936729591,1.6202273006199406,3187.4261234399996,2.7373499999999997
0.015,0.2,47.7,47.5,-52.5157,-57.5799,-54.3488,-35.2719,0.64,4.346,0.9662715644,5.0642,-19.076899999999995,0.9120491857757513,1.5408526770843836,2854.16527616,2.78144
